Nama of Product,Description,Image Link,Price,Rating,Merchant
iPhone 12 mini 64Gb 128Gb 256Gb Bekas Fullset Second Mulus,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HpHAyRH_Hhbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yposefH_nhHaFiyRCsUstdo_nDUMVj9RosQR-BUstpHArXHAHp6AKpHAJNopnO6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zE_92oH1NkZ9xouJ7O_92-H7OEgpV-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRuo8BBR_320P7NEyp-vuJ1O_BzS8JB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMHh3MOGQ1Okgp-HuJNt392SPJNJz_Cq1pV2_Ozso1h13MOouVJ7_jPzP7Ok_9Po17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PN3I2-HcgU8I2jzpJdgjPR8c-I6_oMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32o8JNAoAuvucrp_uz-HJOJ_9x6zV1p_MB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32oP7NNoIPo8j77_7zoP7O1qpoozV1OZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_uPbm-X9foxQMz2gcV7guYxgIHi6sJfomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sjp6AKDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UB7DUSCaq3oB9f-2gmUE6A1Fbm-SQfVD9fBjUstawe?ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fgnt-jkt%2Fiphone-12-mini-64gb-128gb-256gb-bekas-fullset-second-mulus-hitam-64-gb%3Fsrc%3Dtopads&is_search=1&src=search&keywords=handphone&page=1&t=desktop&dv=desktop&management_type=1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/8/34621074-12c3-4a4f-b84c-5d71ce08e3ab.jpg.webp?ect=4g,Rp7.999.999,5.0,GNT
Samsung Galaxy A52s 5G 8/256 GB RAM 8 ROM 256GB Original Garansi SEIN,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UdHAHdHsjabm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_yposefH_nhHaFiyRCsUstdo_nDUMVj9RosQR-BUstpHAyX6Arh6AjRo_eOopeO6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_e7_jzs81YJZ9xo8MDp_S2uHjNkgpo-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRuvzJ7p_jzzH1N1yR2oqMDF_M2-o1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMHh3MOGQ1Okgp-HuJNt392SPJNJz_Cq1pV2_Ozso1h13MOouVJ7_jPzP7Ok_9Po17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PN3I2-HcgU8I2jzpJdgjPR8c-I6_oMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32oP7O2oIP6zVBN_uzzHJNEgRBozJ7a_jo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32oP7N2oAz68j17_OzsH1NJu_o6zV17Z3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6sJfomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6seNo_yfbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaom-Pbm-FrMBsguYiq3ei6sKOHmFigfYxQVY2gmUEHS7?src=search&ob=23&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fpromoguy%2Fsamsung-galaxy-a52s-5g-8-256-gb-ram-8-rom-256gb-original-garansi-sein-black%3Fsrc%3Dtopads&is_search=1&page=1&management_type=1&keywords=handphone,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/13/1bd90839-ea60-48c3-a4a9-0ace7c802b5a.jpg.webp?ect=4g,Rp6.090.000,4.9,promoguy
REALME GT NEO 2 5G 12/256 GT NEO2 12/256 GARANSI RESMI INDONESIA,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HpHpKpHpJfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_yposefH_nhHaFiyRCsUstfHAnDUMVj9RosQR-BUstpHA1XoAHdopep6AJh6_Kh6A1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_uH7H1N1ypoo8MH7_OzoHjNkypC6uVjOZ3BRqujp1SByH7ND3uxGqMVAZ_g-qMPO_1zzP7Nk3_V6zJ7F_92SP7NEypo-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32sHu2WZMOoqMra_Vz6qVBEgRz6zJ1F3BHhq1Y1ypuHuV2W_uzzoJNI19PoqjOR_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8uxEZ_CMZIxEgJrh6cgIPRxizpjpgjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9P6q_zR_32-HjYJqpC6zcHF_1z-H1NNZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9P61peF_92SH7NJ__zouJ1O_7zVoJN_Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUsthoseDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst76AndHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHsei9ZFirI-2yfuwyMBjUstfHAnDUMP5y3hwq3ei6s-Y?management_type=1&src=search&is_search=1&keywords=handphone&page=1&ob=23&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fcuan-gadgetid%2Frealme-gt-neo-2-5g-12-256-gt-neo2-12-256-garansi-resmi-indonesia-neo-blue-tanpa-bonus%3Fsrc%3Dtopads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/7/62265eaa-de00-41e4-9e7a-2cbb72b9dd7e.jpg.webp?ect=4g,Rp6.699.000,5.0,Cuan Gadget.id
Samsung Galaxy A12 Garansi Resmi Sein - 4/128 Gb,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6A1OosKf6_jDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosHfoAyhHAJpbm-srcHi6seOHmFiy3zwrfo5rM1i6sHFomddHAjdopeFH_eaoAyObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oIx6zJJO_M2S81Ok__VozJ17_uz-oJB2PfBgHO-N3Ao6QVByZM2xe7jfZ32uP1OkqRxozJJh_3208JOJe_VoqMWdZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkypVqQ12W_32SHjh1_Mxg8MP7_jzVHV2_H3BvucHO_VzqQ1O11_z6zOVR_32oP7O_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBy8jjFgjxd8MzIH_xMzRPdyjrNHfgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjON_9j7o1OJe_zozJBN_M2C8jOJ__C6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjOR_jH7oJOJqpz68BVR_uzz81NJ3_V-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnO6V7DUMNwyfVXgcBjy9zB9fVjraUEH_y7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHpJFHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UB7DUSCaq3oB9f-2gmUEoA1Fbm-SQfVD9fBjUstawe?t=desktop&keywords=handphone&src=search&ob=23&management_type=1&dv=desktop&is_search=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fv5k%2Fsamsung-galaxy-a12-garansi-resmi-sein-4-128-gb%3Fsrc%3Dtopads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/7/ea20bd2d-124b-4c9f-92f8-2074339fa60d.jpg.webp?ect=4g,Rp2.099.000,4.9,Pusat Grosir HP
Samsung S20 FE 8/128 (Snapdragon) Garansi Resmi Sein,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Udo_jF6_jdbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_yposefH_nhHaFiyRCsUstfHAnDUMVj9RosQR-BUstpHAUX6Ardo_n7osKNHsJDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j78JYJ1_oouJOE_S2uH7Y139x68MrhZ3BRqujp1SByH7ND3uxGqMVAZ_g-qBBO_BzuH7OEypoozVJO_uzSP7OEZ_z-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32sHu2WZMOoqMra_Vz6qVBEgRz6zJ1F3BHhq1Y1ypuHuV2W_uzzoJNI19PoqjOR_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8uxEZ_CMZIxEgJrh6cgIPRxizpjpgjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9P61peF_OzCo1O1_926zVJa_32CH1NAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9Poq_e7_S2SH1OJ1_-vzcWN_uoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6sJfomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHhHAHFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaom-Pbm-FrMBsguYiq3ei6syFHmFigfYxQVY2gmUEHS7?src=search&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmonsterada%2Fsamsung-s20-fe-8-128-snapdragon-garansi-resmi-sein-navy-cloud%3Fsrc%3Dtopads&keywords=handphone&dv=desktop&is_search=1&t=desktop&ob=23,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/7/cc234f8e-2581-407b-b632-41f2c9513160.jpg.webp?ect=4g,Rp6.899.000,5.0,MONSTERADA
Realme C11 Garansi Resmi,https://www.tokopedia.com/evogad/realme-c11-garansi-resmi-2gb-32gb-abu-abu?whid=0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/9d249ace-09dc-412d-acc8-5cf5484fa144.jpg.webp?ect=4g,Rp1.238.000,4.9,Evogad Official
Realme C21Y 4/64 RAM 4GB Internal 64GB Garansi Resmi Indonesia,https://www.tokopedia.com/sfoneomnistore/realme-c21y-4-64-ram-4gb-internal-64gb-garansi-resmi-indonesia-cross-blue?whid=0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/24/10812548-196d-43e5-8dfc-496708d59b8a.png.webp?ect=4g,Rp1.706.000,5.0,SFONE OMNI STORE
Xiaomi Redmi 9A 2/32 RAM 3GB ROM 32GB Garansi Resmi Xiaomi Indonesia,https://www.tokopedia.com/sfoneomnistore/xiaomi-redmi-9a-2-32-ram-3gb-rom-32gb-garansi-resmi-xiaomi-indonesia-biru?whid=0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/31/7a632a08-7d4d-4abe-9a5f-978d73954641.jpg.webp?ect=4g,Rp1.298.000,4.9,SFONE OMNI STORE
Samsung A12 4/128 RAM 4GB Internal 128GB Garansi Resmi SEIN,https://www.tokopedia.com/sfoneomnistore/samsung-a12-4-128-ram-4gb-internal-128gb-garansi-resmi-sein-hitam?whid=0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/14ca8da9-523d-4784-a208-2b1c4bad42ba.jpg.webp?ect=4g,Rp2.141.000,4.9,SFONE OMNI STORE
Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi,https://www.tokopedia.com/supergadgettt/samsung-galaxy-a72-8-128-8-256-kamera-4k-gb-ram-8-rom-128-256-resmi-awesome-black-a72-8-128gb?whid=0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/25d1e0fb-18fc-4989-b7ba-b4f4bc598be4.png.webp?ect=4g,Rp5.440.000,4.9,SUPER_GADGET
Realme C11 2/32 RAM 2GB ROM 32GB GARANSI RESMI REALME,https://www.tokopedia.com/enterphone2/realme-c11-2-32-ram-2gb-rom-32gb-garansi-resmi-realme-abu-abu?whid=0,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC,Rp1.221.000,4.9,enterphone2
Iphone XR Garansi Resmi Ibox,https://www.tokopedia.com/ptpratamasemesta/iphone-xr-garansi-resmi-ibox-merah-64-new-package?whid=0,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC,Rp8.269.000,5.0,PT Pratama Sntra Semesta
IPhone 12 Pro Max Garansi Resmi Ibox,https://www.tokopedia.com/ptpratamasemesta/iphone-12-pro-max-garansi-resmi-ibox-silver-256-gb?whid=0,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC,Rp19.399.000,5.0,PT Pratama Sntra Semesta
itel vision A26 (2/32) garansi resmi by infinix,https://www.tokopedia.com/murahmeriah9/itel-vision-a26-2-32-garansi-resmi-by-infinix-biru?whid=0,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC,Rp860.000,4.9,murahmeriah shop
Xiaomi Redmi Note 10S 8/128 RAM 8GB ROM 128GB Garansi Resmi Xiaomi,https://www.tokopedia.com/sfoneomnistore/xiaomi-redmi-note-10s-8-128-ram-8gb-rom-128gb-garansi-resmi-xiaomi-putih?whid=0,data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC,Rp3.064.000,5.0,SFONE OMNI STORE
